# Server version 0.08 running on 192.168.2.16:8124
# Game ID: 43
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Fri Apr 07 23:10:11 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on 192.168.2.16
# Player 2: Player-1, 'Human', running on 192.168.2.16
START Player-0 RandomPlayer
START Player-1 Human
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 0
PIT 1 1
PIT 0 3
PIT 1 0
PIT 1 3
PIT 0 4
PIT 0 2
PIT 1 4
PIT 0 3
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Fri Apr 07 23:10:45 EDT 2017
