# Server version 0.08 running on 192.168.2.16:8124
# Game ID: 44
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Fri Apr 07 23:11:06 EDT 2017
# Player 1: Player-0, 'Human', running on 192.168.2.16
# Player 2: Player-1, 'RandomPlayer', running on 192.168.2.16
START Player-0 Human
START Player-1 RandomPlayer
PIT 0 3
PIT 1 2
PIT 0 2
PIT 1 5
PIT 0 4
PIT 0 2
PIT 0 1
PIT 1 5
PIT 0 2
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 5
PIT 1 2
PIT 0 5
PIT 1 3
PIT 0 3
PIT 1 4
PIT 0 4
PIT 1 1
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 5
PIT 0 0
PIT 1 3
PIT 0 2
PIT 1 2
PIT 0 3
PIT 1 5
PIT 0 4
PIT 1 1
PIT 1 5
PIT 0 3
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 2
PIT 1 5
PIT 0 1
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 4
PIT 0 5
PIT 1 4
PIT 0 3
PIT 1 0
PIT 0 1
PIT 1 3
PIT 0 0
PIT 1 1
PIT 0 0
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 2
PIT 0 3
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 1
PIT 1 1
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 4
PIT 0 0
PIT 1 3
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 0
PIT 1 1
GAMEOVER WINNER 1         Player-0 score: 30  Player-1 score: 42
# Game ended: Fri Apr 07 23:15:21 EDT 2017
