# Server version 0.08 running on 192.168.2.16:8123
# Game ID: 63
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Sat Apr 08 13:52:39 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, '260580792', running on localhost
START Player-0 RandomPlayer
START Player-1 260580792
PIT 1 0
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 1
PIT 0 1
PIT 1 2
PIT 0 4
PIT 1 1
PIT 0 0
PIT 1 5
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 5
PIT 1 3
PIT 0 2
PIT 1 5
PIT 0 3
PIT 1 3
PIT 0 2
PIT 1 5
PIT 0 5
PIT 1 2
PIT 0 0
PIT 0 5
PIT 0 3
PIT 1 5
PIT 0 5
PIT 1 4
PIT 0 2
PIT 1 5
PIT 0 3
PIT 1 2
PIT 0 1
PIT 1 5
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 4
PIT 0 5
PIT 1 5
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 4
PIT 0 3
PIT 1 1
PIT 0 2
PIT 1 5
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 4
PIT 0 4
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0         Player-0 score: 46  Player-1 score: 26
# Game ended: Sat Apr 08 13:54:28 EDT 2017
